6 | VERIFIED_VERBATIM |  | academic | adventurersleague.wordpress.com | verdicts-dnd-chunk-00.json | terminology consistency (edition-specific bans) | Wizards of the Coast, D&D Style Guide v1.04a | Q=We have abandoned that practice. | TW=We have abandoned that practice. | CLAIM=5e abandoned the 3E/4E use of 'result' for the number rolled and 4E's 'save' for a successful saving throw; 'magic item' never 'magical item'; 'deals 10 fire damage' not 'points of damage'; 'hit point maximum' not 'maximum hit points'. | NOTE=The sentence appears twice, verbatim, once for each abandonment: under 'Saving Throws' ('In 4E, we used "save" as a synonym for "successful saving throw." We have abandoned that practice.') and under 
221 | VERIFIED_VERBATIM |  | voice | wizards.com | verdicts-dnd-i214-228.json | design labels kept out of game text | Design & Development: How to Make a Monster Manual, Part 1 (David Noonan, 2007-07-27) | Q=I didn't want the roles to creep into game text | TW=Intentionally modern-sounding labels so roles stay out of game text. | CLAIM=Noonan deliberately used modern-sounding monster role labels (mook, artillery, decathlete) so they would not creep into published game text. | NOTE=Wayback raw capture 20140106064951id_. Page: 'And I intentionally used modern-sounding labels on some of the roles because I didn't want the roles to creep into game text. Only the designers and I wou
223 | VERIFIED_VERBATIM |  | voice | richard-baker.blogspot.com | verdicts-dnd-i214-228.json | boxed text as 2e house habit | Baker's Field: Twenty-Eight Adventures (Part 1) (Richard Baker, 2015-03-09) | Q=kind of a 2e style thing | TW=VERY fond of boxed text back in the day. | CLAIM=Rich Baker, reviewing his own TSR adventures, calls his heavy use of boxed text a 2e-era style thing. | NOTE=Live blogspot page fetched raw. Reviewing his 1992 TSR Dark Sun super-adventure Dragon's Crown among his 28 published adventures: 'I also seem to have been VERY fond of boxed text back in the day, alt
225 | VERIFIED_VERBATIM |  | voice | critical-hits.com | verdicts-dnd-i214-228.json | Chicago Manual of Style | Freelancer Chronicles: The Coast Wizards and I, Some Lessons (Critical Hits, 2012-12-19) | Q=that's going to be your main bible | TW=Chicago Manual of Style is your main bible for WotC work. | CLAIM=WotC freelancers in 2012 were held to the Chicago Manual of Style and required to deliver manuscripts in WotC's Word templates needing minimal grammar or syntax editing. | NOTE=Live Critical Hits page fetched raw. 'Lessons Learned 2: Yes the Chicago Manual of Style is a HUGE and expensive document. If you want to write for WotC, that's going to be your main bible.' Templates
227 | VERIFIED_VERBATIM |  | voice | slyflourish.com | verdicts-dnd-i214-228.json | brevity and read-aloud test | On Writing Adventures (Mike Shea, Sly Flourish, 2019-06-17) | Q=Small beats large. Keep it brief | TW=Small beats large. Keep it brief. Be specific. Read aloud. | CLAIM=Kobold Guide precepts quoted by Shea: small beats large, be specific, read your work aloud. | NOTE=Live slyflourish.com page. Under 'Kobold's Guide to Game Design: Adventures' the bullets include 'Small beats large. Keep it brief.', 'Read your work aloud.' and 'Be specific.' Quote verbatim; all thr
228 | VERIFIED_VERBATIM |  | voice | koboldpress.com | verdicts-dnd-i214-228.json | fitting a shared-world prose style | Making the Realms Shine: A Conversation with Ed Greenwood, Part I (Kobold Press, 2009) | Q=perhaps even to a particular prose style | TW=Daunting task of fitting in, not contradicting existing lore. | CLAIM=Greenwood says shared-world writers must fit in, perhaps even to a particular prose style, without contradicting existing lore. | NOTE=Live koboldpress.com page fetched raw (Jeremy L.C. Jones interview, 26 May 2009). Greenwood's answer: 'Yet the shared world writer faces many constraints. Character descriptions, backstories, aims, an
229 | VERIFIED_VERBATIM |  | voice | koboldpress.com | verdicts-dnd-i229-243.json | sensory immersion | Making the Realms Shine: A Conversation with Ed Greenwood, Part I (Kobold Press, 2009) | Q=I'm smelling what the characters are smelling | TW=I'm smelling what the characters are smelling | CLAIM=Greenwood writes by imagining he is present, smelling and tasting what characters do, then writing down enough for the reader to see the crypt or court. | NOTE=Kobold Press page (Jeremy L.C. Jones, May 26, 2009) fetched raw, HTTP 200. Full passage: "I plunge into the story and imagine that I'm there. I'm smelling what the characters are smelling, tasting wha
230 | VERIFIED_VERBATIM |  | voice | koboldpress.com | verdicts-dnd-i229-243.json | writing to order | Making the Realms Shine: A Conversation with Ed Greenwood, Part I (Kobold Press, 2009) | Q=I write about what publishers ask me to | TW=I write about what publishers ask me to | CLAIM=Greenwood writes what publishers ask for, in the way they want it, and still entertainingly. | NOTE=Same Kobold Press page. "I get the chance to get published because I write about what publishers ask me to ... I write about what those who set the assignment want me to. And do so in a way that is en
231 | VERIFIED_VERBATIM |  | voice | paizo.com | verdicts-dnd-i229-243.json | rewrite the weak | Author Interview: Ed Greenwood (Paizo Blog, 2013-06-20) | Q=Never think your words are perfect | TW=never think your words are perfect | CLAIM=Greenwood's advice: never think your words are perfect; rewrite anything weak or awkward. | NOTE=Paizo blog, James L. Sutter, Jun 20, 2013, fetched raw, HTTP 200. Advice-for-writers answer: "rewrite anything that seems weak and awkward ... always work on clearly dated copies, but never think your
232 | VERIFIED_VERBATIM |  | voice | media.wizards.com | verdicts-dnd-i229-243.json | text stands on its own (RAW) | Sage Advice Compendium (Jeremy Crawford, Wizards of the Coast, v2.7 2021) | Q=The text is forced to stand on its own. | TW=The text is forced to stand on its own. | CLAIM=Crawford reads a rule first as written, in context and without regard to intent, because the published text must stand on its own. | NOTE=SA-Compendium.pdf fetched (23pp, 'Version 2.7 ©2021 Wizards of the Coast'), text extracted with pypdf. Page 1-2, RAW section: "When I dwell on the RAW interpretation of a rule, I'm studying what the t
233 | VERIFIED_VERBATIM |  | voice | media.wizards.com | verdicts-dnd-i229-243.json | rules as foundation, DM as bridge | Sage Advice Compendium (Jeremy Crawford, Wizards of the Coast, v2.7 2021) | Q=no set of rules could reasonably account for every contingency | TW=lay a foundation of rules that a DM could build on | CLAIM=5e's rules deliberately lay a foundation for the DM to build on rather than trying to cover every contingency. | NOTE=Same PDF, 'The Role of Rules': "no set of rules could reasonably account for every contingency. If the rules tried to do so, the game would become unplayable ... The direction we chose for the current
234 | VERIFIED_VERBATIM |  | voice | media.wizards.com | verdicts-dnd-i229-243.json | public statements are not rulings | Sage Advice Compendium (Jeremy Crawford, Wizards of the Coast, v2.7 2021) | Q=are not official rulings; they are advice | TW=are not official rulings; they are advice | CLAIM=Only the compendium is official; designers' tweets and public statements are advice. | NOTE=Same PDF, 'Official Rulings': "Official rulings on how to interpret rules are made here in the Sage Advice Compendium ... The public statements of the D&D team, or anyone else at Wizards of the Coast,
235 | VERIFIED_VERBATIM |  | voice | dndbeyond.com | verdicts-dnd-i229-243.json | glossary and taught key terms | What's New in the 2024 Player's Handbook? (Michael Galvis, D&D Beyond, 2024-09-17) | Q=key terms of the game, like what a D20 Test | TW=appendices summarizes all of the main rules terminology | CLAIM=The 2024 PHB teaches key terms (D20 Test, Magic action) in an opening play guide with examples of play and sidebars, and summarizes rules terminology in a glossary appendix. | NOTE=D&D Beyond post 1745 fetched raw, HTTP 200; byline 'by Michael Galvis / Sep 17, 2024' matches. "The 2024 Player's Handbook lowers the barrier to entry ... with an expansive play guide. In its early ch
236 | VERIFIED_VERBATIM |  | voice | dndbeyond.com | verdicts-dnd-i229-243.json | updated terminology table | Updates in the Player's Handbook (2024) (D&D Beyond staff, 2024-09-03) | Q=uses some new terms, as shown in the Updated Terminology Table | TW=uses some new terms, as shown in the Updated Terminology Table | CLAIM=The 2024 PHB renames terms via an Updated Terminology Table: Race to Species, Cast a Spell action to Magic action, Ki to Monk's Focus. | NOTE=D&D Beyond post 1810 fetched raw, HTTP 200; byline 'by DND Staff / Sep 3, 2024' matches. Under 'New Terminology' the Updated Terminology table lists all three named pairs: Race > Species, Cast a Spell
239 | VERIFIED_VERBATIM |  | voice | cbr.com | verdicts-dnd-i229-243.json | self-contained lore nuggets | D&D's Jeremy Crawford on the 2025 Monster Manual, The New Starter Set, and High Level Game | Q=fill them with lore nuggets | TW=don't want to assume that people have access to the old books | CLAIM=Crawford: the 2025 core books are filled with lore nuggets because WotC will not assume readers own the old books. | NOTE=CBR interview fetched raw, HTTP 200; 'Published Feb 5, 2025'. Crawford: "In all of the books we have coming up, including the Monster Manual, we've made sure to fill them with lore nuggets. Because ..
241 | VERIFIED_VERBATIM |  | house-style-2019 | cyborgsandmages.wordpress.com | verdicts-dnd-i229-243.json | style foundation (Chicago + Merriam-Webster) | D&D Style Guide: Writing and Editing, Version 1.08a (2018; 'updated January 2019') | Q=Merriam-Webster’s Collegiate Dictionary, 11th edition | TW=takes both of those works as its foundation | CLAIM=The 2019 guide (v1.08a) rests on the Chicago Manual of Style 17th edition and Merriam-Webster's Collegiate 11th edition, and covers only D&D-specific departures from them. | NOTE=Style guide PDF fetched (11pp) and extracted with pypdf. p.1: "We have two primary resources for the house style of DUNGEONS & DRAGONS products: The Chicago Manual of Style, 17th edition / Merriam-Web
242 | VERIFIED_VERBATIM |  | house-style-2019 | cyborgsandmages.wordpress.com | verdicts-dnd-i229-243.json | scope across product types | D&D Style Guide: Writing and Editing, Version 1.08a (2018; 'updated January 2019') | Q=whether RPG books, board games, novels, or something else | TW=apply to all D&D products, whether RPG books, board games, novels | CLAIM=The general rules bind every D&D product, not just rulebooks. | NOTE=Same PDF, p.1, section heading 'General Rules': "The rules in this section apply to all D&D products, whether RPG books, board games, novels, or something else." Quote verbatim; the 'not just rulebook
244 | VERIFIED_VERBATIM |  | house-style-2019 | cyborgsandmages.wordpress.com | verdicts-dnd-i244-258.json | source discipline for setting facts | D&D Style Guide: Writing and Editing, Version 1.08a (2018; 'updated January 2019') | Q=Don’t rely on Internet searches | TW=Don't rely on Internet searches; beware prior-edition products | CLAIM=Writers are told not to rely on internet searches, wikis, or prior-edition products for setting facts. | NOTE=p.1 sidebar 'Texts about D&D Settings': quote verbatim. Wikis limb explicit ('Both Wikipedia and the Forgotten Realms Wiki ... contain some unreliable information'); prior-edition limb worded 'beware 
245 | VERIFIED_VERBATIM |  | house-style-2019 | cyborgsandmages.wordpress.com | verdicts-dnd-i244-258.json | register: high-fantasy tone gate | D&D Style Guide: Writing and Editing, Version 1.08a (2018; 'updated January 2019') | Q=ring wraiths aren’t used for gags | TW=Think Lord of the Rings or Game of Thrones | CLAIM=Tone is gated by a Lord of the Rings / Game of Thrones plausibility test; humor and tragedy are allowed only if they do not overtake the general tone. | NOTE=p.2 'High Fantasy' sidebar: 'Elements of humor or tragedy are fine, so long as they are true to the facts of the brand and don't overtake the general tone. When in doubt, think about properties like t
246 | VERIFIED_VERBATIM |  | house-style-2019 | cyborgsandmages.wordpress.com | verdicts-dnd-i244-258.json | register: party over lone hero | D&D Style Guide: Writing and Editing, Version 1.08a (2018; 'updated January 2019') | Q=Teamwork and friendship are a huge part | TW=Lone knight less characteristic than an adventuring team | CLAIM=D&D's brand voice frames adventure as a team's story rather than a lone knight's. | NOTE=p.2 'High Fantasy': 'D&D is about small bands of characters embarking on adventures together. Teamwork and friendship are a huge part of what makes D&D distinct as a brand. The lone knight fighting a 
